Time,Accel Lat-FT,Accel Long-FT,Accel Vert-FT,Aileron-L FCC1,Aileron-R FCC1,Airspeed Cal-ADS1,Altitude DPGS,Altitude Radio-1 ASCB,AOA Norm-FCC1,AOA Norm-FCC2,AOA-ADS1,AOA-ADS2,AOA-ADS3 ASCB,AOA-ADS4 ASCB,AOS-ADS1,AOS-ADS2,AOS-ADS3 ASCB,AOS-ADS4 ASCB,Ctrl Col Force-L,Ctrl Col Force-R,Ctrl Col Pos-L FCC1,Ctrl Col Pos-R FCC1,Ctrl Whl Force-L FCC1,Ctrl Whl Force-R FCC1,Ctrl Whl Pos-L FCC1,Ctrl Whl Pos-R FCC1,Elevator-L FCC1,Elevator-R FCC1,Eng1 EPR-LA,Eng1 Fuel Flow-LA,Eng1 N1-LA,Eng1 N2-LA,Eng1 Thrust Gross-LA,Eng1 Thrust Net-LA,Eng1 TRA-LA,Eng2 EPR-RA,Eng2 Fuel Flow-RA,Eng2 N1-RA,Eng2 N2-RA,Eng2 Thrust Gross-RA,Eng2 Thrust Net-RA,Eng2 TRA-RA,Flap FCC2,Gear WOW-L LGCU1,Gear WOW-N LGCU1,Gear WOW-R LGCU1,Heading Mag-IRS1,Heading Mag-IRS3 ASCB,Pitch Rate-IRS1,Pitch-IRS1,Pitch-IRS2,Roll Rate-IRS1,Roll-IRS1,Roll-IRS3 ASCB,Rudder Ped Force-L FCC1,Rudder Ped Force-R FCC1,Rudder Ped Pos-FCC1,Rudder Ped Pos-FCC2,Rudder-FCC1,Spoiler-LIB FCC1,Spoiler-LMB FCC1,Spoiler-LOB FCC1,Spoiler-RIB FCC1,Spoiler-RMB FCC1,Spoiler-ROB FCC1,Stab-HSCU1,Yaw Rate Body-IRS1
(UTC),(g),(g),(g),(deg),(deg),(kt),(ft),(ft),(),(),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(lbf),(lbf),(deg),(deg),(lbf),(lbf),(deg),(deg),(deg),(deg),(),(pph),(%RPM),(%RPM),(lbf),(lbf),(deg),(),(pph),(%RPM),(%RPM),(lbf),(lbf),(deg),(deg),(),(),(),(deg),(deg),(deg/sec),(deg),(deg),(deg/sec),(deg),(deg),(lbf),(lbf),(in),(in),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(deg/sec)
,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""*"",1:1=""Gear Compressed"")","%N(0:0=""*"",1:1=""Gear Compressed"")","%N(0:0=""*"",1:1=""Gear Compressed"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER
48781.6,-0.027,0.342,1.028,-0.32,0.2,51.56,3677.26,-2.2,0.19,0.2,-1.67,-0.43,-0.24,0.07,-6.34,-5.7,-4.92,-3.11,4.04,4.95,0.44,0.41,0.03,-1.04,-0.66,-0.59,-2.88,-2.7,1.53,5070.5,89.18,91.92,13842.43,12659.47,32.17,1.53,5031,89.23,92.23,13951.84,12779.62,31.99,20,1,1,1,36.36,36.38,0.24,-1.51,-1.51,0.28,1.04,0.99,17.34,-1.16,0.62,0.52,-3.4,0.02,0.66,0.68,0.02,0.03,0,-6.2,-0.52
48781.7,-0.036,0.337,1.028,-0.32,0.2,52.79,3677.23,-2.2,0.19,0.19,-1.1,-0.18,-0.52,-0.02,-5.97,-5.69,-5.69,-3.58,3.6,5.68,0.44,0.41,0.11,-0.93,-0.74,-0.64,-2.88,-2.7,1.53,5070.5,89.18,91.91,13834.25,12659.14,32.17,1.53,5035.5,89.2,92.23,13972.76,12807.66,31.9,20,1,1,1,36.3,36.34,0.16,-1.48,-1.48,0.17,1.08,1.03,21.2,-1.11,0.69,0.69,-4.32,0.02,0.59,0.63,0.02,0.02,0.03,-6.2,-0.46
48781.8,-0.021,0.336,1.075,-0.28,0.18,52.9,3677.15,-2.2,0.18,0.18,-1.42,-0.23,-0.23,0.09,-5.56,-5.51,-5.09,-3.12,4.48,5.46,0.44,0.42,0.06,-0.96,-0.74,-0.63,-2.88,-2.7,1.53,5065,89.2,91.93,13862.02,12666.52,32.17,1.53,5035.5,89.16,92.22,13952.15,12754.38,31.99,20,1,1,1,36.26,36.28,-0.23,-1.49,-1.5,0.47,1.09,1.03,23.09,-1.3,0.8,0.8,-5.2,0.02,0.57,0.59,0.02,0.03,0.02,-6.2,-0.38
48781.9,-0.036,0.337,1.026,-0.28,0.18,53.73,3677.13,-2.2,0.17,0.17,-0.8,0.25,-0.32,0.23,-5.41,-5.25,-5.38,-3.57,3.38,5.43,0.46,0.43,0.4,-1.04,-0.79,-0.68,-2.9,-2.71,1.53,5065,89.22,91.94,13871.84,12647.84,32.17,1.53,5038.5,89.16,92.22,13947.26,12728.4,31.99,20,1,1,1,36.21,36.24,-0.14,-1.52,-1.51,-0.31,1.06,1.03,23.92,-2.49,0.83,0.83,-5.83,0.03,0.54,0.57,0,0.03,0.02,-6.2,-0.31
48782,-0.019,0.34,1.002,-0.28,0.18,55.15,3677.08,-2.2,0.17,0.17,-1.11,0.66,0.17,0.47,-5.58,-4.99,-4.11,-2.44,4.01,5.52,0.46,0.43,0.19,-0.8,-0.81,-0.65,-2.92,-2.72,1.53,5060,89.24,91.96,13870.05,12607.56,32.17,1.53,5038.5,89.19,92.23,13968.89,12723.1,31.99,20,1,1,1,36.18,36.2,-0.43,-1.57,-1.57,-0.21,1.01,0.98,22.49,-1.9,0.82,0.82,-5.92,0.02,0.55,0.57,0.02,0,0.02,-6.2,-0.26
48782.1,-0.032,0.336,0.979,-0.28,0.18,55.66,3677.24,-2.2,0.17,0.18,-1.4,-0.06,0.05,0.68,-5.92,-5.27,-4.62,-2.9,4.01,5.11,0.45,0.43,0.16,-1.27,-0.85,-0.73,-2.92,-2.71,1.53,5060,89.23,91.95,13871.65,12623.56,32.17,1.53,5041.5,89.19,92.23,13970.68,12723.22,31.9,20,1,1,1,36.15,36.17,-0.08,-1.59,-1.59,-1.1,0.92,0.91,19.72,-1.11,0.72,0.7,-5.58,0,0.57,0.6,0.02,0.03,0.02,-6.2,-0.14
48782.2,-0.034,0.343,1.004,-0.28,0.18,55.6,3677.22,-2.2,0.17,0.17,-1.75,0.1,-0.47,0.24,-5.83,-5.71,-5.3,-3.54,5.08,5.3,0.44,0.42,0.51,-1.16,-1.03,-0.93,-2.92,-2.71,1.53,5055,89.27,91.98,13886.03,12627.55,32.17,1.53,5041.5,89.19,92.22,13970.23,12713.72,31.9,20,1,1,1,36.13,36.15,0.24,-1.59,-1.59,0.15,0.89,0.85,16.8,-1.6,0.44,0.55,-4.02,0.03,0.64,0.68,0,0.03,0,-6.2,-0.01
48782.3,-0.04,0.338,0.997,-0.29,0.18,56.02,3677.14,-2.4,0.18,0.18,-1.65,-0.73,-0.31,-0.22,-5.56,-5.02,-4.68,-2.87,4.1,5.02,0.44,0.43,0.06,-1.3,-1.05,-0.94,-2.92,-2.72,1.53,5055,89.31,92,13893.39,12612.3,32.17,1.53,5041,89.21,92.23,13971.5,12686.13,31.9,20,1,1,1,36.13,36.14,0.35,-1.56,-1.55,0.11,0.88,0.83,13.63,-1.16,0.39,0.4,-3.02,0.02,0.75,0.75,0.02,0.04,0.02,-6.2,0.08
48782.4,-0.02,0.34,0.993,-0.38,0.24,56.58,3677.12,-2.4,0.17,0.17,-1.74,0.11,-0.45,0.01,-4.97,-4.57,-4.58,-2.93,3.66,5.17,0.44,0.42,0.14,-1.24,-1.03,-0.91,-2.92,-2.71,1.53,5053,89.35,92.02,13971.46,12698.23,32.17,1.53,5041,89.22,92.22,13943.26,12651.36,31.9,20,1,1,1,36.13,36.14,0.55,-1.51,-1.52,0.29,0.92,0.86,14.37,-2.39,0.41,0.4,-2.88,0,0.82,0.82,0,0.04,0,-6.2,0.07
48782.5,-0.023,0.333,1.037,-0.38,0.25,56.68,3677.08,-2.2,0.2,0.18,-1.08,-0.13,0.07,0.54,-4.67,-4.34,-3.58,-2.38,3.7,4.36,0.44,0.42,0.32,-1.14,-0.93,-0.83,-2.92,-2.71,1.53,5053,89.39,92.05,13990.05,12670.49,32.17,1.53,5040,89.2,92.23,14000.64,12697.58,31.9,20,1,1,1,36.14,36.14,0.24,-1.48,-1.49,0.95,0.99,0.91,9.87,-1.45,0.14,0.25,-1.83,0.03,0.79,0.79,0.03,0.03,0.03,-6.2,0.06
48782.6,-0.018,0.328,1.089,-0.38,0.24,57.92,3676.97,-2.2,0.2,0.2,-0.71,-0.43,0.1,-0.03,-5.11,-4.89,-4.29,-2.57,2.84,4.8,0.44,0.41,-0.17,-0.85,-0.93,-0.85,-2.92,-2.71,1.53,5050.5,89.41,92.05,14008.08,12672.82,32.17,1.53,5040,89.23,92.23,13988.23,12654.11,31.9,20,1,1,1,36.14,36.15,0.01,-1.47,-1.47,0.72,1.05,0.98,9.77,-0.36,0.15,0.16,-0.83,0.02,0.75,0.77,0.02,0.03,0,-6.2,0.02
48782.7,-0.022,0.328,1.058,-0.35,0.2,58.93,3676.94,-2.2,0.18,0.18,-1.43,-0.34,-0.42,0.13,-5.78,-5.55,-5.21,-3.4,4.13,4.45,0.42,0.4,0.35,-0.75,-0.93,-0.81,-2.9,-2.71,1.53,5050.5,89.45,92.07,14013.31,12674.71,32.17,1.53,5040,89.26,92.24,14047.3,12706.41,31.99,20,1,1,1,36.15,36.16,-0.01,-1.47,-1.48,-0.1,1.05,1,16.95,-2.84,0.4,0.46,-1.49,0.03,0.73,0.75,0,0.04,0,-6.2,-0.07
48782.8,-0.022,0.335,0.997,-0.35,0.22,59.44,3676.9,-2.2,0.16,0.17,-1.25,0.03,0.1,0.17,-5.06,-5.05,-4.85,-3.57,4.07,4.86,0.42,0.4,0.03,-0.93,-0.87,-0.71,-2.87,-2.68,1.53,5062,89.44,92.05,14017.44,12661.71,32.17,1.53,5040,89.23,92.24,14005.33,12642.4,31.9,20,1,1,1,36.15,36.16,-0.47,-1.5,-1.51,-0.35,1.03,0.99,22.24,-2.05,0.87,0.71,-4.67,0.03,0.73,0.72,0.03,0.02,0.02,-6.2,-0.13
48782.9,-0.024,0.338,0.937,-0.34,0.2,60.12,3676.89,-2.2,0.16,0.16,-1.27,-0.07,-0.06,0.36,-4.76,-4.18,-4.03,-2.38,3.48,5.14,0.42,0.41,0.06,-0.85,-0.9,-0.74,-2.87,-2.66,1.53,5062,89.43,92.05,14003.48,12614.28,32.17,1.53,5042.5,89.21,92.23,13992.01,12605.18,31.99,20,1,1,1,36.13,36.15,-0.19,-1.53,-1.52,-0.87,0.96,0.94,24.77,-2.14,0.9,0.9,-6.18,0.02,0.69,0.73,0,0.03,0.02,-6.2,-0.14
48783,-0.022,0.34,0.969,-0.34,0.19,60.78,3676.86,-2.2,0.16,0.17,-0.6,0.02,-0.25,0.36,-4.75,-4.49,-4.19,-2.6,3.63,5.2,0.43,0.41,0.32,-1.12,-0.86,-0.73,-2.87,-2.68,1.53,5073.5,89.44,92.04,14038,12643.81,32.17,1.53,5042.5,89.25,92.23,14003.19,12627.59,31.99,20,1,1,1,36.12,36.14,-0.32,-1.57,-1.56,-0.74,0.89,0.86,23.98,-0.41,0.89,0.89,-6.4,0.03,0.68,0.69,0.02,0.03,0.02,-6.2,-0.05
48783.1,-0.029,0.331,1.016,-0.31,0.2,61.58,3676.76,-2.4,0.18,0.18,-0.35,-0.05,0.22,0.42,-5.18,-4.53,-4.38,-2.75,3.54,5.68,0.43,0.41,0.27,-1.4,-1.06,-0.93,-2.87,-2.66,1.53,5073.5,89.41,92.02,14014.63,12589.69,32.17,1.53,5045.5,89.25,92.23,14051.8,12642.16,31.99,20,1,1,1,36.12,36.13,0.03,-1.57,-1.57,-0.15,0.85,0.81,24.32,-2,0.89,0.89,-6.33,0.02,0.66,0.68,0.03,0.02,0.03,-6.2,0.12
48783.2,-0.021,0.331,1.068,-0.32,0.19,62.5,3676.74,-2.2,0.19,0.19,-1.52,-0.35,-0.07,0.64,-4.94,-4.34,-4.33,-3.19,3.82,5.8,0.42,0.4,0.03,-0.96,-0.98,-0.86,-2.87,-2.66,1.53,5088.5,89.37,91.99,14009.51,12577.16,32.17,1.53,5045.5,89.26,92.26,14025.89,12612.55,31.99,20,1,1,1,36.12,36.13,0.05,-1.57,-1.57,0.12,0.84,0.79,24.02,-1.75,0.89,0.89,-6.33,0.03,0.73,0.75,0,0.03,0.02,-6.2,0.25
48783.3,-0.016,0.329,1.035,-0.35,0.2,62.91,3676.63,-2.4,0.19,0.18,-1.07,-0.4,-0.3,0,-4.97,-4.19,-4.34,-2.94,3.54,5.59,0.43,0.41,0.06,-1.12,-1.1,-0.92,-2.87,-2.66,1.53,5088.5,89.32,91.95,13983.07,12547.25,32.17,1.53,5050.5,89.25,92.24,14044.25,12597,31.99,20,1,1,1,36.15,36.14,0.28,-1.53,-1.53,0.39,0.85,0.8,16.2,-1.41,0.63,0.56,-5.87,0.03,0.77,0.76,0.03,0.03,0.04,-6.2,0.38
48783.4,-0.014,0.333,1.044,-0.38,0.24,63.25,3676.62,-2.4,0.18,0.18,-1.08,-0.35,0.02,0.09,-4.45,-3.79,-3.75,-2.56,3.7,5.43,0.43,0.4,-0.05,-1.16,-1.11,-0.96,-2.87,-2.66,1.53,5103.5,89.3,91.95,13976.02,12509.17,32.17,1.53,5050.5,89.25,92.24,14052.88,12576.78,31.9,20,1,1,1,36.18,36.17,0.49,-1.5,-1.51,0.61,0.92,0.84,11.45,-1.25,0.21,0.3,-2.2,0.02,0.82,0.83,0.02,0.02,0.03,-6.2,0.42
48783.5,-0.022,0.331,0.997,-0.38,0.24,64.12,3676.56,-2.2,0.18,0.17,-1.02,-0.49,-0.27,-0.01,-4.93,-4.55,-4.57,-2.57,4.36,5.11,0.43,0.41,0.69,-0.77,-0.91,-0.79,-2.88,-2.68,1.53,5103.5,89.28,91.92,13993.57,12524.34,32.17,1.53,5055.5,89.24,92.23,14069.64,12600.9,31.99,20,1,1,1,36.22,36.2,0.4,-1.47,-1.47,0.74,0.98,0.91,12.2,-2.49,0.24,0.25,-1.39,0.03,0.79,0.79,0.02,0.03,0.02,-6.2,0.41
48783.6,-0.007,0.331,0.979,-0.35,0.22,64.54,3676.53,-2.2,0.17,0.17,-1.05,-0.54,-0.2,0.22,-4.59,-4.09,-4.34,-2.56,3.38,5.17,0.43,0.4,-0.17,-1.12,-0.92,-0.83,-2.88,-2.68,1.53,5101,89.26,91.91,13962.58,12487.69,32.17,1.53,5055.5,89.22,92.21,14071.46,12597.81,31.99,20,1,1,1,36.26,36.25,0.29,-1.44,-1.44,1,1.06,0.99,13.43,-2.2,0.32,0.33,-1.77,0.03,0.72,0.7,0.02,0.02,0.04,-6.2,0.31
48783.7,-0.017,0.329,0.974,-0.32,0.2,65.17,3676.49,-2.2,0.17,0.17,-0.92,0.2,-0.17,0.1,-4.49,-3.94,-3.83,-2.36,3.51,4.67,0.42,0.4,0.09,-0.59,-0.65,-0.53,-2.87,-2.68,1.53,5101,89.25,91.91,13963.03,12463.47,32.17,1.53,5062.5,89.2,92.2,14082.85,12577.07,31.9,20,1,1,1,36.3,36.28,0.19,-1.42,-1.43,0.23,1.1,1.04,13.58,-1.45,0.24,0.31,-2.2,0.02,0.62,0.64,0.02,0.02,0.02,-6.2,0.27
48783.8,-0.001,0.321,1.061,-0.31,0.18,65.78,3676.4,-2.2,0.18,0.18,-0.88,-0.21,-0.1,0.28,-4.32,-3.59,-3.83,-2.2,4.27,4.83,0.42,0.4,0.77,-1.12,-0.65,-0.5,-2.87,-2.68,1.53,5099,89.26,91.92,13971.25,12465.98,32.17,1.53,5062.5,89.18,92.18,14063.49,12553.43,31.9,20,1,1,1,36.32,36.32,-0.06,-1.42,-1.43,-0.55,1.09,1.05,8.53,-1.5,0.16,0.16,-1.52,0.03,0.55,0.55,0.03,0.02,0.02,-6.2,0.11
48783.9,-0.02,0.318,1.079,-0.24,0.15,66.4,3676.36,-2.4,0.18,0.18,-0.84,-0.2,0.01,0.19,-4.14,-3.66,-3.82,-2.66,3.79,4.8,0.41,0.38,-0.36,-0.44,-0.32,-0.18,-2.88,-2.66,1.53,5099,89.26,91.92,13976.22,12440.15,32.17,1.53,5069,89.15,92.16,14036.07,12495.3,31.99,20,1,1,1,36.34,36.34,0.16,-1.42,-1.42,-0.77,1.03,1.01,12.54,-2,0.24,0.26,-1.1,0.02,0.4,0.44,0.03,0.02,0.02,-6.2,0.01
48784,-0.017,0.328,1.037,-0.13,0.07,67.49,3676.29,-2.4,0.17,0.18,-1.37,-0.46,-0.14,0,-4.2,-3.55,-3.71,-2,2.47,5.37,0.35,0.34,0.01,0.03,0.34,0.42,-2.86,-2.68,1.53,5086,89.26,91.92,13971.32,12409.65,32.17,1.53,5069,89.14,92.15,14024.94,12462.78,31.9,20,1,1,1,36.35,36.36,-0.25,-1.43,-1.43,-0.27,0.99,0.95,12.29,-2.14,0.37,0.3,-1.89,0.02,0.1,0.12,0.02,0.04,0.03,-6.2,-0.04
48784.1,-0.021,0.329,0.948,-0.04,-0.02,67.93,3676.28,-2.4,0.16,0.16,-0.88,0.03,-0.44,0.01,-4.01,-3.95,-3.73,-2.35,2.44,4.39,0.3,0.29,2.26,-0.36,0.83,0.86,-2.8,-2.64,1.53,5086,89.28,91.93,13994.46,12455.51,32.17,1.53,5062,89.13,92.15,14021.45,12462.4,31.99,20,1,1,1,36.34,36.36,-0.12,-1.43,-1.43,-0.8,0.93,0.9,17.2,-1.35,0.47,0.52,-2.52,0.03,0.04,0.04,0.03,0.1,0.02,-6.2,-0.07
48784.2,-0.022,0.33,0.969,0.07,-0.19,68.16,3676.25,-2.4,0.16,0.17,-0.67,-0.09,-0.13,0.17,-3.91,-3.09,-3.54,-1.93,1.96,5.3,0.26,0.24,0.71,0.24,0.75,0.78,-2.65,-2.48,1.53,5073,89.31,91.95,14010.86,12432.91,32.17,1.53,5062,89.14,92.15,14021.34,12456.31,31.9,20,1,1,1,36.34,36.35,0,-1.43,-1.44,0.06,0.93,0.88,24.96,-2.09,0.86,0.87,-5.01,0.02,0.02,0.04,0.02,0.63,0.63,-6.2,-0.03
48784.3,-0.021,0.323,1.014,0.07,-0.2,69.05,3676.18,-2.2,0.18,0.17,-0.9,-0.2,-0.06,0.18,-4.18,-3.5,-3.75,-2.45,1.55,5.62,0.16,0.15,0.48,0.3,0.48,0.54,-2.53,-2.39,1.53,5073,89.35,91.96,14054.11,12457.12,32.17,1.53,5055,89.14,92.14,14052.74,12452.34,31.9,20,1,1,1,36.33,36.35,-0.01,-1.43,-1.43,0.18,0.94,0.89,23.58,-2.2,0.78,0.85,-6.18,0.02,0.02,0,0.02,0.59,0.55,-6.2,0
48784.4,-0.012,0.322,1.061,0.07,-0.19,69.5,3676.16,-2.2,0.18,0.18,-0.85,-0.17,-0.34,0.31,-4.06,-3.48,-3.67,-2.26,1.87,3.98,0.14,0.12,-0.17,0.01,0.18,0.22,-2.46,-2.3,1.53,5067,89.37,91.99,14060.2,12467.74,32.17,1.53,5055,89.12,92.14,14031.67,12435.97,31.9,20,1,1,1,36.34,36.34,0.01,-1.42,-1.43,0.29,0.98,0.92,16.55,-0.86,0.6,0.55,-5.49,0.02,0.03,0.04,0.03,0.47,0.48,-6.2,0.17
48784.5,-0.022,0.322,1.037,-0.04,0.03,69.83,3676.05,-1.8,0.18,0.17,-0.92,-0.38,-0.21,0.03,-4.02,-3.44,-3.75,-2.19,1.08,5.62,0.15,0.13,-0.77,0.14,-0.23,-0.14,-2.36,-2.18,1.53,5067,89.36,91.98,14062.39,12437.54,32.17,1.53,5043.5,89.11,92.13,14055.88,12448.27,31.99,20,1,1,1,36.35,36.35,0.07,-1.41,-1.42,0.55,1.03,0.97,6.16,-1.35,0.12,0.09,-2.17,0.02,0.02,0.03,0.02,0.03,0.03,-6.2,0.18
48784.6,-0.01,0.325,1,-0.13,0.1,70.73,3676.05,-1.8,0.17,0.17,-1.4,-0.41,0,0.26,-3.65,-2.95,-3.04,-1.67,1.55,4.61,0.13,0.11,-0.75,0.3,-0.45,-0.3,-2.36,-2.17,1.53,5061,89.37,91.98,14061.14,12411.52,32.17,1.53,5043.5,89.1,92.13,14066.11,12423.55,31.99,20,1,1,1,36.37,36.37,0.1,-1.39,-1.4,-0.14,1.07,1.01,4.42,-0.81,0.08,0.05,-0.1,0,0.12,0.15,0,0.03,0.02,-6.2,0.14
48784.7,-0.02,0.325,0.974,-0.15,0.12,71.85,3676.01,-2,0.17,0.17,-1.24,-0.4,-0.34,0.6,-3.93,-3.21,-3.4,-1.72,0.83,5.27,0.13,0.12,-1.22,-0.09,-0.54,-0.38,-2.36,-2.15,1.53,5061,89.38,91.98,14048.61,12390.82,32.17,1.53,5033,89.11,92.13,14049.51,12399.21,31.99,20,1,1,1,36.39,36.38,0.58,-1.36,-1.37,0.1,1.09,1.04,7.94,-2.98,0.09,0.11,-0.29,0.02,0.24,0.25,0.02,0.02,0.03,-6.2,0.08
48784.8,-0.014,0.325,1.007,-0.22,0.15,72.43,3675.95,-1.8,0.17,0.17,-1.48,-0.66,-0.31,-0.05,-3.95,-3.27,-3.67,-2.25,1.87,5.02,0.13,0.11,-0.28,0.14,-0.24,-0.14,-2.35,-2.15,1.53,5072.5,89.38,91.98,14079.12,12408.77,32.17,1.53,5033,89.1,92.13,14062.55,12399.1,31.9,20,1,1,1,36.39,36.4,0.48,-1.32,-1.32,0.07,1.1,1.05,14.97,-1.65,0.34,0.39,-0.97,0.02,0.35,0.35,0,0.04,0.03,-6.2,-0.08
48784.9,-0.024,0.321,1.016,-0.15,0.09,72.96,3675.94,-2,0.17,0.17,-0.98,-0.4,-0.29,-0.09,-3.35,-2.89,-3.03,-1.97,0.98,4.7,0.12,0.1,-0.33,-0.23,0.09,0.11,-2.33,-2.14,1.53,5072.5,89.38,91.99,14071.45,12371.98,32.17,1.53,5034,89.13,92.14,14053.55,12363.8,31.99,20,1,1,1,36.39,36.4,0.74,-1.26,-1.26,-0.4,1.09,1.05,18.92,-0.95,0.64,0.57,-3.74,0.03,0.06,0.09,0,0.03,0,-6.2,-0.08
48785,-0.022,0.318,1.093,-0.1,0.03,73.52,3675.86,-2,0.18,0.18,-1.27,-0.38,-0.33,0,-3.66,-2.71,-3.14,-1.44,1.05,5.14,0.13,0.1,-0.3,0.09,0.06,0.07,-2.33,-2.14,1.53,5083.5,89.39,91.98,14053.51,12348.38,32.17,1.53,5034,89.16,92.16,14074.16,12379.57,31.99,20,1,1,1,36.39,36.4,0.36,-1.21,-1.22,-0.34,1.08,1.03,20.85,-1.3,0.68,0.68,-4.48,0.02,0.03,0.04,0.02,0.02,0.02,-6.2,-0.05
48785.1,-0.024,0.315,1.082,-0.07,0.02,73.9,3675.85,-2,0.17,0.18,-1.21,-0.67,-0.28,0.26,-3.73,-2.91,-3.4,-1.66,0.98,4.61,0.14,0.12,-0.41,1.16,-0.07,0.03,-2.33,-2.15,1.53,5083.5,89.4,91.98,14073.2,12358.05,32.17,1.53,5037,89.16,92.16,14065.89,12364.01,31.9,20,1,1,1,36.38,36.39,0.17,-1.19,-1.2,-0.58,1.03,1,19.47,-1.8,0.65,0.65,-4.76,0.02,0.02,0.03,0,0.04,0.02,-6.2,-0.05
48785.2,-0.014,0.319,1.03,-0.09,0.03,74.34,3675.82,-2.2,0.16,0.16,-0.83,-0.34,-0.4,-0.05,-3.66,-2.82,-3.15,-1.73,1.14,5.59,0.15,0.13,0.38,-0.38,-0.02,0.05,-2.35,-2.14,1.53,5095,89.38,91.98,14117.79,12380.41,32.17,1.53,5037,89.16,92.16,14094.31,12372.82,31.9,20,1,1,1,36.38,36.39,-0.49,-1.21,-1.22,-0.75,0.96,0.94,17.79,-1.65,0.56,0.61,-4.37,0.03,0.02,0.03,0.02,0.03,0,-6.2,0.01
48785.3,-0.024,0.321,0.986,-0.07,0.04,75.17,3675.82,-2.4,0.16,0.16,-1.33,-0.24,-0.18,0.24,-3.63,-2.82,-3.19,-1.66,2.78,4.7,0.17,0.14,-0.33,-0.02,-0.11,-0.04,-2.37,-2.15,1.53,5095,89.35,91.96,14080.89,12329.11,32.17,1.53,5040,89.16,92.16,14107.85,12379.99,31.9,20,1,1,1,36.38,36.39,-0.67,-1.26,-1.27,-0.39,0.91,0.88,13.77,-1.45,0.43,0.41,-3.82,0.02,0.03,0.03,0.02,0.04,0,-6.2,0.08
48785.4,-0.021,0.324,0.946,-0.1,0.07,75.56,3675.83,-2.4,0.15,0.16,-0.55,0,-0.4,0.15,-3.02,-2.35,-2.6,-1.6,2.05,5.08,0.16,0.14,-1.22,-0.3,-0.58,-0.45,-2.4,-2.2,1.53,5106.5,89.34,91.95,14078.81,12328.28,32.17,1.53,5040,89.14,92.16,14099.81,12367.19,31.9,20,1,1,1,36.38,36.39,-0.4,-1.3,-1.3,0.26,0.9,0.84,7.39,-1.75,0.17,0.15,-1.91,0,0.07,0.16,0.02,0.03,0,-6.2,0.09
48785.5,-0.024,0.329,0.904,-0.25,0.16,76.13,3675.82,-2.2,0.17,0.16,-0.7,-0.17,-0.06,0.29,-3.23,-2.5,-2.79,-1.35,1.96,4.77,0.19,0.16,-1.59,-0.28,-0.97,-0.9,-2.4,-2.2,1.53,5106.5,89.31,91.93,14050.06,12275.4,32.17,1.53,5050.5,89.17,92.18,14089.22,12324.83,31.9,20,1,1,1,36.39,36.39,0.31,-1.3,-1.3,0.35,0.92,0.87,6.99,-0.16,0.11,0.1,-0.54,0.03,0.51,0.5,0.03,0.03,0.03,-6.2,0.12
48785.6,-0.015,0.32,0.995,-0.34,0.22,76.62,3675.8,-2,0.18,0.18,-1.06,-0.3,-0.13,0.12,-3.08,-2.64,-3.11,-1.82,1.52,4.64,0.19,0.17,-1.69,0.06,-1.2,-1.02,-2.43,-2.21,1.53,5103.5,89.3,91.94,14049.21,12275.27,32.17,1.53,5050.5,89.18,92.17,14144.54,12352.39,31.9,20,1,1,1,36.4,36.41,0.32,-1.28,-1.29,1.21,1,0.92,8.73,-1.65,0.12,0.12,-0.5,0.02,0.69,0.72,0.02,0.04,0.02,-6.2,-0.01
48785.7,-0.019,0.315,1.086,-0.46,0.28,77.3,3675.73,-2.2,0.19,0.19,-0.83,-0.45,-0.28,0.1,-2.91,-2.7,-2.67,-1.62,0.61,3.48,0.15,0.13,-2.03,0.22,-1.58,-1.35,-2.43,-2.24,1.53,5103.5,89.3,91.93,14077.81,12269.42,32.17,1.53,5061,89.14,92.16,14114.59,12305.49,31.9,20,1,1,1,36.4,36.41,0.68,-1.2,-1.21,0.71,1.08,1.01,8.48,-1.45,0.12,0.12,-0.68,0.03,0.94,0.97,0.02,0.03,0.02,-6.2,-0.06
